A,B,x,y,C,z,C_canonical,z_canonical,gcd,a,b,c,m,alpha,beta,gamma,macro_family,sub_family,regime,geometry,proof_status,certificate
101306,101306,8,8,28099835631368,3,28099835631368,3,101306,1,1,277375828,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=101306,k=8) : 2·101306^8=28099835631368^3"
108000,108000,4,4,6480000,3,6480000,3,108000,1,1,60,3,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=108000,k=4) : 2·108000^4=6480000^3"
108000,108000,7,7,699840000000,3,699840000000,3,108000,1,1,6480000,3,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=108000,k=7) : 2·108000^7=699840000000^3"
109744,109744,5,5,316940672,3,316940672,3,109744,1,1,2888,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=109744,k=5) : 2·109744^5=316940672^3"
109744,109744,8,8,34782337107968,3,34782337107968,3,109744,1,1,316940672,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=109744,k=8) : 2·109744^8=34782337107968^3"
117128,117128,5,5,2576816,4,2576816,4,117128,1,1,22,4,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=117128,k=5) : 2·117128^5=2576816^4"
117128,117128,9,9,301817304448,4,301817304448,4,117128,1,1,2576816,4,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=117128,k=9) : 2·117128^9=301817304448^4"
118098,118098,4,4,13122,5,13122,5,13122,9,9,1,4,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=118098,k=4) : 2·118098^4=13122^5"
118098,118098,9,9,39366,10,39366,10,39366,3,3,1,9,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=118098,k=9) : 2·118098^9=39366^10"
118098,118098,9,9,1549681956,5,1549681956,5,118098,1,1,13122,5,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=118098,k=9) : 2·118098^9=1549681956^5"
118638,118638,5,5,360896796,3,360896796,3,118638,1,1,3042,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=118638,k=5) : 2·118638^5=360896796^3"
118638,118638,8,8,42816074083848,3,42816074083848,3,118638,1,1,360896796,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=118638,k=8) : 2·118638^8=42816074083848^3"
119164,119164,4,4,7388168,3,7388168,3,119164,1,1,62,3,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=119164,k=4) : 2·119164^4=7388168^3"
119164,119164,7,7,880403651552,3,880403651552,3,119164,1,1,7388168,3,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=119164,k=7) : 2·119164^7=880403651552^3"
